team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2009,CAR,2009020047,CAR,FLA,HOME,20091009,Team Level,all,0.4978,0.479,0.5,3600,33.274,3.393,2.4,7.232,1.066,17.358,12.551,3.219,3.44,3.264,33,11,13,57,7,3,1,10,3,8,13,26,37,7,14,31,32,12,2,30,10,4,1.03,1.184,1.179,3,2,2,61.604,44,45.343,1,0.532,0.814,0.814,3.11,3.16,3.126,32.506,3.423,2.357,7.466,1.097,17.326,12.331,3.138,3.359,3.084,27,17,18,62,2,4,1,9,0,17,12,25,42,3,6,38,10,9,3,27,13,4,0.552,1.683,1.188,0,1,1,58.213,44,42.721,1,0.523,0.909,0.909,3.037,2.994,2.928
CAR,2009,CAR,2009020047,CAR,FLA,HOME,20091009,Team Level,5on5,0.445,0.5,0.5,2507,24.918,2.197,1.8,5.738,0.805,13.198,9.262,2.134,2.244,2.179,25,8,11,44,6,2,0,9,2,5,9,19,27,6,12,24,29,6,2,24,7,2,0.823,0.846,0.527,3,2,1,48.604,33,34.343,1,0.375,0.438,0.438,2.134,2.184,2.163,24.482,2.74,1.764,5.683,0.838,12.584,9.392,2.455,2.676,2.401,20,13,11,44,2,4,1,7,0,13,7,18,31,2,4,25,9,6,2,18,12,3,0.439,1.522,0.779,0,1,1,40.213,33,31.72,1,0.373,0.909,0.909,2.204,2.161,2.095
CAR,2009,CAR,2009020047,CAR,FLA,HOME,20091009,Team Level,4on5,0.574,0.1579,0.25,639,2.591,0.663,0.158,0.327,0.064,0.6,1.189,0.559,0.663,0.559,3,0,0,3,1,1,1,0,0,0,1,2,2,1,2,3,1,5,0,1,0,2,0.011,0,0.651,0,0,1,3,3,3,0,0.038,0.377,0.377,0.324,0.324,0.321,6.4,0.492,0.528,1.39,0.215,4.154,2.222,0.492,0.492,0.492,6,3,7,16,0,0,0,2,0,3,4,6,9,0,0,6,0,1,1,8,0,1,0.083,0,0.409,0,0,0,16,9,9,0,0.134,0,0,0.626,0.626,0.625
CAR,2009,CAR,2009020047,CAR,FLA,HOME,20091009,Team Level,5on4,1,1,1,228,3.732,0.358,0.291,0.812,0.126,2.229,1.184,0.35,0.358,0.35,3,2,0,5,0,0,0,0,1,2,2,3,5,0,0,2,2,0,0,3,2,0,0.122,0.236,0,0,0,0,5,5,5,0,0.074,0,0,0.432,0.432,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2009,CAR,2009020055,CAR,T.B,AWAY,20091010,Team Level,other,0.1654,0.5,0.5,25,1.3,0.152,0.099,0.226,0.039,1.124,0.36,0.148,0.152,0.148,2,0,0,2,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0.04,0.113,0,0,0,0,2,2,2,0,0.034,0,0,0.186,0.186,0.181,1.348,0.767,0.063,0.135,0.028,0.665,0.342,0.767,0.767,0.767,2,0,0,2,1,0,0,0,0,1,0,1,1,0,0,3,0,1,0,1,0,1,0.024,0,0.743,0,0,1,2,2,2,0,0.016,0,0,0.783,0.783,0.783
CAR,2009,CAR,2009020055,CAR,T.B,AWAY,20091010,Team Level,all,0.411,0.4622,0.4607,3600,28.297,2.418,1.997,5.342,0.922,16.16,14.161,2.394,2.458,2.434,26,15,14,55,2,0,0,7,4,13,15,24,39,7,14,21,19,6,9,33,6,2,0.945,0.635,0.839,0,0,2,55.775,41,41.392,5,0.484,0,0,2.903,2.951,2.921,32.087,3.465,2.672,6.62,0.968,19.814,13.526,3.362,3.423,3.32,39,9,16,64,5,2,1,6,0,18,17,34,43,5,10,40,19,5,7,35,11,2,1.331,1.183,0.951,1,2,2,63.349,48,47.568,3,0.602,0.297,0.297,3.705,3.657,3.565
CAR,2009,CAR,2009020055,CAR,T.B,AWAY,20091010,Team Level,5on5,0.4567,0.5278,0.4902,2386,17.214,1.224,1.088,3.779,0.587,9.751,8.571,1.205,1.265,1.245,14,11,13,38,0,0,0,3,3,9,10,14,25,7,14,12,19,6,5,21,4,0,0.811,0.414,0,0,0,0,38.775,25,25.392,4,0.223,0,0,1.447,1.496,1.473,18.252,1.456,1.482,4.206,0.568,10.799,7.488,1.419,1.413,1.377,19,7,8,34,3,2,1,6,0,7,8,16,23,5,10,26,17,4,4,19,6,1,0.638,0.609,0.208,1,1,1,33.349,26,25.568,2,0.306,0.297,0.297,1.465,1.417,1.396
CAR,2009,CAR,2009020055,CAR,T.B,AWAY,20091010,Team Level,4on5,0.0903,0.1034,0.1429,717,2.226,0.122,0.079,0.132,0.079,0.6,1.988,0.122,0.122,0.122,2,1,0,3,0,0,0,0,0,0,3,2,3,0,0,4,0,0,1,2,1,0,0.014,0.108,0,0,0,0,3,3,3,1,0.019,0,0,0.142,0.142,0.142,11.475,1.229,1.096,2.162,0.341,8.09,4.147,1.162,1.229,1.162,16,2,8,26,1,0,0,0,0,10,7,15,17,0,0,6,0,0,2,13,5,0,0.655,0.574,0,0,1,0,26,18,18,0,0.272,0,0,1.435,1.435,1.364
CAR,2009,CAR,2009020055,CAR,T.B,AWAY,20091010,Team Level,5on4,0.985,0.8571,0.8462,472,7.557,0.919,0.731,1.206,0.217,4.685,3.242,0.918,0.919,0.918,8,3,1,12,2,0,0,3,0,4,2,6,9,0,0,5,0,0,3,9,0,2,0.08,0,0.839,0,0,2,12,11,11,0,0.208,0,0,1.127,1.127,1.126,1.012,0.014,0.031,0.117,0.031,0.259,1.548,0.014,0.014,0.014,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,5,2,0,1,2,0,0,0.014,0,0,0,0,0,2,2,2,1,0.009,0,0,0.022,0.022,0.022
CAR,2009,CAR,2009020096,CAR,N.J,AWAY,20091017,Team Level,other,0,0.1667,0,137,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.88,1.329,0.268,0.324,0.087,1.573,0.418,1.253,1.329,1.253,4,0,1,5,1,0,0,1,0,1,1,3,3,0,0,0,0,0,0,0,3,1,0,0.495,0.834,0,0,1,5,4,4,0,0.081,0,0,1.41,1.41,1.325
CAR,2009,CAR,2009020096,CAR,N.J,AWAY,20091017,Team Level,all,0.3261,0.4524,0.4648,3600,24.047,1.86,1.521,4.834,0.719,12.516,11.549,1.854,1.908,1.901,26,7,5,38,0,0,0,3,0,10,20,26,33,5,13,16,5,6,1,23,10,0,0.673,1.188,0,0,0,0,38.372,33,33.121,1,0.316,0,0,2.177,2.232,2.224,28.111,3.844,1.983,5.723,0.905,14.942,10.603,3.739,3.788,3.684,29,9,8,46,2,1,0,6,0,8,21,27,36,2,7,26,16,11,9,21,14,3,0.91,1.598,1.336,0,1,1,45.398,38,37.636,4,0.448,0.079,0.079,4.212,4.148,4.05
CAR,2009,CAR,2009020096,CAR,N.J,AWAY,20091017,Team Level,5on5,0.4306,0.4853,0.5085,2962,21.742,1.615,1.431,4.533,0.662,11.838,9.921,1.608,1.662,1.655,24,6,3,33,0,0,0,3,0,10,17,24,30,4,11,12,3,5,1,21,9,0,0.616,0.999,0,0,0,0,33.372,30,30.121,1,0.296,0,0,1.911,1.966,1.958,21.63,2.136,1.448,4.654,0.691,11.225,8.847,2.107,2.08,2.052,20,9,6,35,1,1,0,5,0,6,16,19,28,2,7,20,16,11,8,19,8,2,0.816,0.819,0.501,0,1,0,34.398,29,28.636,4,0.3,0.079,0.079,2.356,2.292,2.279
CAR,2009,CAR,2009020096,CAR,N.J,AWAY,20091017,Team Level,4on5,0.3936,0.3333,0.375,261,2.306,0.246,0.09,0.301,0.057,0.678,1.629,0.246,0.246,0.246,2,1,0,3,0,0,0,0,0,0,3,2,3,1,2,0,0,1,0,2,1,0,0.057,0.189,0,0,0,0,3,3,3,0,0.02,0,0,0.266,0.266,0.266,3.601,0.379,0.267,0.745,0.126,2.144,1.338,0.379,0.379,0.379,5,0,1,6,0,0,0,0,0,1,4,5,5,0,0,4,0,0,1,2,3,0,0.095,0.284,0,0,0,0,6,5,5,0,0.067,0,0,0.446,0.446,0.446
CAR,2009,CAR,2009020096,CAR,N.J,AWAY,20091017,Team Level,5on4,0,1,0,240,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2009,CAR,2009020113,CAR,NYI,AWAY,20091021,Team Level,other,0.4633,0.5,0.5,17,3.949,0.353,0.193,0.892,0.115,1.641,1.805,0.35,0.353,0.35,4,1,0,5,0,0,0,0,0,3,2,4,5,0,0,2,4,1,2,4,0,1,0.151,0,0.202,0,0,0,5,5,5,1,0.048,0,0,0.401,0.401,0.398,3.912,0.409,0.25,0.95,0.111,1.632,1.648,0.409,0.409,0.409,3,2,0,5,0,0,0,1,0,1,3,3,5,0,0,3,2,5,2,3,1,1,0.044,0.127,0.238,0,0,0,5,5,5,1,0.06,0,0,0.469,0.469,0.469
CAR,2009,CAR,2009020113,CAR,NYI,AWAY,20091021,Team Level,all,0.5355,0.6283,0.5824,3900,38.755,3.521,2.586,8.555,1.226,20.749,16.362,3.436,3.557,3.47,38,15,18,71,3,3,0,9,1,18,19,35,50,3,9,20,32,19,11,40,9,4,1.256,1.054,1.211,1,1,1,69.69,53,52.328,4,0.576,0.305,0.305,3.792,3.827,3.787,28.27,3.054,1.962,6.205,0.85,14.427,11.501,2.946,2.999,2.895,29,9,4,42,3,2,0,6,0,9,18,26,35,5,13,44,27,30,14,21,14,3,0.65,1.648,0.756,0,3,0,42.422,38,38.231,5,0.435,0.444,0.444,3.045,3.004,2.98
CAR,2009,CAR,2009020113,CAR,NYI,AWAY,20091021,Team Level,5on5,0.5471,0.6625,0.619,3122,28.32,2.52,1.977,6.414,0.931,15.382,11.776,2.449,2.556,2.483,27,12,14,53,2,3,0,7,1,11,15,25,37,3,9,13,26,14,6,28,9,2,1,1.054,0.466,1,1,0,51.69,39,38.328,3,0.413,0.305,0.305,2.628,2.663,2.637,17.907,2.086,1.232,3.948,0.54,9.247,6.946,1.988,2.031,1.937,20,4,3,27,3,2,0,3,0,7,9,17,21,5,13,35,23,22,11,12,10,2,0.339,1.229,0.518,0,3,0,27.422,24,24.231,4,0.26,0.444,0.444,1.902,1.861,1.85
CAR,2009,CAR,2009020113,CAR,NYI,AWAY,20091021,Team Level,4on5,0.1325,0.2222,0.25,343,1.46,0.06,0.05,0.196,0.042,0.478,1.174,0.06,0.06,0.06,1,1,0,2,0,0,0,0,0,0,2,1,2,0,0,1,2,1,0,2,0,0,0.06,0,0,0,0,0,2,2,2,0,0.01,0,0,0.071,0.071,0.071,4.273,0.393,0.361,0.981,0.138,2.722,1.405,0.384,0.393,0.384,5,1,1,7,0,0,0,2,0,0,4,5,6,0,0,3,0,1,1,4,2,0,0.204,0.189,0,0,0,0,7,6,6,0,0.085,0,0,0.478,0.478,0.467
CAR,2009,CAR,2009020113,CAR,NYI,AWAY,20091021,Team Level,5on4,0.7795,0.7857,0.7,418,5.026,0.587,0.365,1.053,0.139,3.248,1.608,0.577,0.587,0.577,6,1,4,11,1,0,0,2,0,4,0,5,6,0,0,4,0,3,3,6,0,1,0.045,0,0.543,0,0,1,11,7,7,0,0.105,0,0,0.692,0.692,0.681,2.178,0.166,0.119,0.326,0.061,0.826,1.502,0.165,0.166,0.165,1,2,0,3,0,0,0,0,0,1,2,1,3,0,0,3,2,2,0,2,1,0,0.064,0.103,0,0,0,0,3,3,3,0,0.03,0,0,0.196,0.196,0.195
CAR,2009,CAR,2009020129,CAR,COL,AWAY,20091023,Team Level,other,0.0769,0.5,0.3333,214,0.708,0.016,0.034,0.202,0.025,0.346,0.376,0.016,0.016,0.016,1,0,1,2,0,0,0,0,0,1,0,1,1,0,0,2,0,1,2,1,0,0,0.016,0,0,0,0,0,2,1,1,0,0.008,0,0,0.024,0.024,0.024,1.504,0.192,0.134,0.268,0.05,0.833,0.522,0.192,0.192,0.192,1,1,0,2,1,0,0,0,0,0,1,0,1,0,0,4,2,0,1,1,1,0,0.024,0.168,0,0,1,0,2,2,2,1,0.042,0,0,0.234,0.234,0.234
CAR,2009,CAR,2009020129,CAR,COL,AWAY,20091023,Team Level,all,0.5104,0.5161,0.5165,3600,34.18,3.448,2.159,7.791,1.234,16.856,15.513,3.37,3.568,3.486,36,11,17,64,4,4,0,5,1,11,22,32,43,9,37,33,26,11,7,33,11,3,1.051,1.365,1.033,1,1,2,64.929,47,47.577,2,0.462,0.517,0.517,3.393,3.489,3.438,31.021,3.307,2.492,6.853,1.113,17.994,12.241,3.2,3.263,3.157,36,8,16,60,5,5,1,9,1,10,14,31,39,5,8,27,15,15,17,26,15,3,0.85,1.717,0.739,1,4,0,59.434,44,43.795,7,0.565,0.84,0.84,3.032,2.979,2.933
CAR,2009,CAR,2009020129,CAR,COL,AWAY,20091023,Team Level,5on5,0.5793,0.5745,0.5507,2603,27.626,2.808,1.894,6.697,1.057,14.147,11.397,2.73,2.928,2.846,28,10,16,54,3,4,0,5,1,7,18,25,35,6,23,24,22,8,4,25,11,2,0.88,1.365,0.564,1,1,1,54.929,38,38.577,2,0.392,0.517,0.517,2.683,2.779,2.728,21.915,2.039,1.609,5.179,0.779,12.319,9.075,1.999,1.995,1.956,25,6,9,40,3,4,1,6,1,9,8,22,28,4,6,14,11,12,14,21,9,1,0.632,1.08,0.327,1,2,0,39.434,31,30.795,6,0.339,0.635,0.635,1.743,1.69,1.684
CAR,2009,CAR,2009020129,CAR,COL,AWAY,20091023,Team Level,4on5,0.1174,0.2174,0.3125,624,3.657,0.143,0.116,0.485,0.089,1.144,3.023,0.143,0.143,0.143,4,1,0,5,0,0,0,0,0,1,4,4,5,3,14,6,4,2,0,5,0,0,0.143,0,0,0,0,0,5,5,5,0,0.027,0,0,0.17,0.17,0.17,7.602,1.075,0.749,1.406,0.284,4.842,2.644,1.009,1.075,1.009,10,1,7,18,1,1,0,3,0,1,5,9,10,1,2,7,1,2,2,4,5,2,0.194,0.469,0.412,0,1,0,18,11,11,0,0.184,0.205,0.205,1.055,1.055,1.015
CAR,2009,CAR,2009020129,CAR,COL,AWAY,20091023,Team Level,5on4,1,1,1,159,2.189,0.481,0.114,0.406,0.062,1.218,0.717,0.481,0.481,0.481,3,0,0,3,1,0,0,0,0,2,0,2,2,0,0,1,0,0,1,2,0,1,0.012,0,0.469,0,0,1,3,3,3,0,0.035,0,0,0.516,0.516,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2009,CAR,2009020139,CAR,MIN,AWAY,20091024,Team Level,other,0.0769,0.3529,0.3077,290,3.045,0.112,0.095,0.708,0.095,1.192,1.799,0.112,0.112,0.112,2,2,2,6,0,0,0,0,0,2,2,2,4,2,7,3,0,0,0,4,0,0,0.112,0,0,0,0,0,6,4,4,0,0.023,0,0,0.135,0.135,0.135,7.196,1.345,0.545,1.36,0.243,3.162,2.345,1.224,1.345,1.224,8,1,2,11,2,3,2,0,0,3,1,6,7,1,5,10,1,0,0,3,3,3,0.12,0.359,0.867,0,0,2,11,9,9,0,0.159,0.745,0.745,0.759,0.759,0.734
CAR,2009,CAR,2009020139,CAR,MIN,AWAY,20091024,Team Level,all,0.4526,0.4615,0.4713,3715,29.812,2.602,1.663,6.358,0.927,15.668,13.781,2.586,2.668,2.652,23,18,13,54,2,0,0,1,0,18,20,21,39,10,23,22,8,5,4,32,7,2,0.821,0.896,0.885,0,0,2,55.052,41,41.752,2,0.36,0,0,2.963,3.04,3.021,33.377,3.147,2.107,7.265,1.106,18.539,13.835,2.998,3.117,2.968,29,17,17,63,3,3,2,1,0,22,17,26,43,6,15,38,13,4,3,32,10,4,1.027,1.041,1.079,0,0,3,62.261,46,45.59,2,0.502,0.745,0.745,2.904,2.867,2.809
CAR,2009,CAR,2009020139,CAR,MIN,AWAY,20091024,Team Level,5on5,0.6094,0.5405,0.5472,2460,20.845,1.512,1.235,4.766,0.677,11.887,8.923,1.502,1.578,1.567,15,14,11,40,1,0,0,1,0,15,12,14,28,7,14,14,7,3,3,22,6,1,0.59,0.714,0.208,0,0,1,41.052,29,29.752,1,0.251,0,0,1.763,1.84,1.827,17.288,0.969,0.907,4.014,0.534,9.595,7.981,0.968,0.939,0.938,11,13,10,34,1,0,0,1,0,8,14,10,23,4,8,16,11,2,2,20,3,1,0.466,0.291,0.212,0,0,1,33.261,24,23.59,2,0.183,0,0,1.152,1.115,1.113
CAR,2009,CAR,2009020139,CAR,MIN,AWAY,20091024,Team Level,4on5,0.257,0.2,0.25,692,3.077,0.277,0.157,0.389,0.076,0.883,2.218,0.277,0.277,0.277,4,0,0,4,0,0,0,0,0,0,4,4,4,0,0,3,1,2,1,3,1,0,0.095,0.182,0,0,0,0,4,4,4,1,0.035,0,0,0.313,0.313,0.313,8.175,0.801,0.634,1.786,0.309,5.543,2.926,0.774,0.801,0.774,10,2,4,16,0,0,0,0,0,10,2,10,12,1,2,7,0,1,1,8,4,0,0.409,0.392,0,0,0,0,16,12,12,0,0.155,0,0,0.956,0.956,0.925
CAR,2009,CAR,2009020139,CAR,MIN,AWAY,20091024,Team Level,5on4,0.9563,0.6667,0.8,273,2.845,0.701,0.176,0.495,0.079,1.707,0.842,0.695,0.701,0.695,2,2,0,4,1,0,0,0,0,1,2,1,3,1,2,2,0,0,0,3,0,1,0.024,0,0.677,0,0,1,4,4,4,0,0.051,0,0,0.752,0.752,0.746,0.719,0.032,0.021,0.105,0.02,0.239,0.583,0.032,0.032,0.032,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,5,1,1,0,1,0,0,0.032,0,0,0,0,0,2,1,1,0,0.005,0,0,0.037,0.037,0.037
CAR,2009,CAR,2009020157,CAR,STL,HOME,20091028,Team Level,other,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685,0.757,0.003,0.005,0.01,0.086,0.139,0.757,0.757,0.757,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.757,0,0,1,1,1,1,0,0.001,0,0,0.758,0.758,0.758
CAR,2009,CAR,2009020157,CAR,STL,HOME,20091028,Team Level,all,0.6235,0.6891,0.6742,3600,43.659,4.581,3.058,9.937,1.396,24.34,16.689,4.381,4.343,4.146,36,24,22,82,2,4,1,10,1,26,17,34,58,3,12,36,30,8,10,37,18,5,1.036,2.145,1.4,1,0,1,75.793,60,56.142,5,0.677,1.037,1.037,4.221,3.997,3.85,22.163,2.766,1.351,4.911,0.681,10.889,8.402,2.727,2.995,2.952,18,11,8,37,5,1,1,3,0,5,15,13,24,8,22,25,30,4,2,21,5,3,0.651,0.618,1.497,1,2,2,41.633,29,32.245,1,0.287,0.469,0.469,2.584,2.799,2.794
CAR,2009,CAR,2009020157,CAR,STL,HOME,20091028,Team Level,5on5,0.5668,0.6333,0.6087,1943,30.538,2.61,1.893,7.529,0.959,16.403,12.607,2.577,2.371,2.341,28,14,15,57,0,2,0,8,0,17,15,28,42,3,12,25,25,7,7,32,6,4,0.798,0.748,1.064,0,0,0,50.793,42,38.142,5,0.394,0.554,0.554,2.449,2.225,2.211,20.718,1.995,1.298,4.776,0.648,10.268,8.015,1.956,2.225,2.181,17,10,6,33,4,1,1,3,0,5,14,13,23,8,22,19,30,3,2,20,5,2,0.638,0.618,0.739,1,2,1,37.633,27,30.245,1,0.274,0.469,0.469,1.8,2.015,2.01
CAR,2009,CAR,2009020157,CAR,STL,HOME,20091028,Team Level,4on5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.76,0.013,0.05,0.13,0.023,0.534,0.249,0.013,0.013,0.013,0,1,2,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0.013,0,0,0,0,0,3,1,1,0,0.012,0,0,0.026,0.026,0.026
CAR,2009,CAR,2009020157,CAR,STL,HOME,20091028,Team Level,5on4,1,1,1,441,13.121,1.971,1.165,2.408,0.437,7.937,4.081,1.805,1.971,1.805,8,10,6,24,2,2,1,2,1,9,2,6,16,0,0,10,3,1,2,5,12,1,0.238,1.397,0.336,1,0,1,24,18,18,0,0.284,0.483,0.483,1.772,1.772,1.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2009,CAR,2009020181,CAR,PHI,AWAY,20091031,Team Level,other,0.1279,0.4,0.3333,240,2.303,0.165,0.129,0.417,0.062,1.028,1.198,0.162,0.165,0.162,3,0,1,4,0,0,0,1,0,1,1,3,3,0,0,2,1,0,1,2,1,0,0.072,0.093,0,0,0,0,4,3,3,0,0.033,0,0,0.198,0.198,0.195,5.081,1.125,0.41,1.081,0.161,1.659,1.564,0.969,1.125,0.969,5,1,0,6,1,2,1,1,0,1,1,4,5,0,0,4,0,0,0,1,2,3,0.018,0.198,0.909,0,0,1,6,6,6,0,0.101,0.669,0.669,0.557,0.557,0.535
CAR,2009,CAR,2009020181,CAR,PHI,AWAY,20091031,Team Level,all,0.4776,0.6083,0.5682,3600,36.316,3.246,2.504,7.414,1.095,17.997,17.744,3.155,3.213,3.124,40,10,23,73,1,2,0,7,0,15,25,39,49,12,33,18,14,6,10,37,9,4,0.877,1.157,1.212,1,0,0,68.814,50,48.715,5,0.555,0.435,0.435,3.366,3.333,3.288,28.453,3.551,2.174,6.167,0.867,14.76,10.481,3.348,3.591,3.386,28,10,9,47,6,4,3,5,0,10,13,22,32,13,35,32,15,8,12,21,13,4,0.627,1.655,1.269,1,3,2,50.082,38,39.064,9,0.492,1.172,1.172,2.87,2.901,2.834
CAR,2009,CAR,2009020181,CAR,PHI,AWAY,20091031,Team Level,5on5,0.5911,0.6,0.5763,2502,25.67,2.47,1.758,5.446,0.775,11.956,11.596,2.382,2.436,2.35,28,6,14,48,1,2,0,5,0,9,17,27,33,12,33,11,13,5,7,23,8,3,0.693,1.064,0.712,1,0,0,43.814,34,32.715,4,0.369,0.435,0.435,2.404,2.371,2.331,18.093,1.709,1.209,4.174,0.558,9.999,7.35,1.692,1.748,1.731,20,5,7,32,4,2,2,2,0,6,11,16,21,12,33,19,15,7,8,17,7,1,0.492,0.857,0.36,1,2,1,35.082,25,26.064,7,0.254,0.503,0.503,1.46,1.491,1.482
CAR,2009,CAR,2009020181,CAR,PHI,AWAY,20091031,Team Level,4on5,0.0028,0.25,0.2222,258,0.6,0.002,0.02,0.02,0.02,0.02,1.918,0.002,0.002,0.002,2,0,1,3,0,0,0,0,0,1,1,2,2,0,0,3,0,1,1,2,0,0,0.002,0,0,0,0,0,3,2,2,1,0.005,0,0,0.007,0.007,0.006,5.28,0.717,0.554,0.913,0.148,3.101,1.566,0.686,0.717,0.686,3,4,2,9,1,0,0,2,0,3,1,2,6,0,0,4,0,0,2,3,4,0,0.118,0.599,0,0,1,0,9,7,7,0,0.136,0,0,0.854,0.854,0.817
CAR,2009,CAR,2009020181,CAR,PHI,AWAY,20091031,Team Level,5on4,1,1,1,600,7.742,0.609,0.597,1.531,0.238,4.993,3.031,0.609,0.609,0.609,7,4,7,18,0,0,0,1,0,4,6,7,11,0,0,2,0,0,1,10,0,1,0.11,0,0.499,0,0,0,18,11,11,0,0.147,0,0,0.756,0.756,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CAR,2009,CAR,2009020192,CAR,S.J,HOME,20091101,Team Level,other,1,0.5,1,28,0.655,0.026,0.066,0.147,0.029,0.529,0.203,0.026,0.026,0.026,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.026,0,0,0,0,0,1,1,1,0,0.016,0,0,0.042,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
